campus,courseCode,credits,date,day,faculty,room,seatsOpen,status,time,title
MACC Columbia,ACC-101-01,3.00,1/17/2024 - 5/9/2024,Tue,Morgan Rockett,MACC-Columbia - 129,0/22,Full,9:00-10:20 AM,Accounting I
N/A,ACC-101-02,3.00,N/A,N/A,Morgan Rockett,Virtual,0/0,Full,N/A,Accounting I
N/A,ACC-101-03,3.00,N/A,N/A,Morgan Rockett,Virtual,4/25,Open,N/A,Accounting I
N/A,ACC-101-04,3.00,N/A,N/A,Morgan Rockett,Virtual,4/23,Open,N/A,Accounting I
N/A,ACC-101-05,3.00,N/A,N/A,Morgan Rockett,Virtual,1/25,Open,N/A,Accounting I
MACC Moberly,ACC-101-A1,3.00,1/17/2024 - 5/9/2024,Wed,Morgan Rockett,Andrew Komar Jr. Hall - 30,10/12,Open,9:00-10:20 AM,Accounting I
MACC Virtual,ACC-101-A2,3.00,1/17/2024 - 5/9/2024,Wed,Morgan Rockett,Virtual Classrooom - NONE,3/12,Open,9:00-10:20 AM,Accounting I
N/A,ACC-102-01,3.00,N/A,N/A,Morgan Rockett,Virtual,3/24,Open,N/A,Accounting II
N/A,ACC-102-02,3.00,N/A,N/A,Morgan Rockett,Virtual,16/24,Open,N/A,Accounting II
N/A,ACC-102-03,3.00,N/A,N/A,Morgan Rockett,Virtual,0/0,Full,N/A,Accounting II
N/A,ACC-102-04,3.00,N/A,N/A,Morgan Rockett,Virtual,11/23,Open,N/A,Accounting II
MACC Columbia,ACC-102-A1,3.00,1/17/2024 - 5/9/2024,Tue,Morgan Rockett,MACC-Columbia - 129,0/16,Full,10:30-11:50 AM,Accounting II
MACC Virtual,ACC-102-A2,3.00,1/17/2024 - 5/9/2024,Tue,Morgan Rockett,Virtual Classrooom - NONE,1/8,Open,10:30-11:50 AM,Accounting II
N/A,ACC-110-01,3.00,N/A,N/A,Heather Witt,Virtual,2/24,Open,N/A,Personal Finance
N/A,ACC-110-02,3.00,N/A,N/A,Suzanne McGarvey,Virtual,2/24,Open,N/A,Personal Finance
